food_name|serving_size|serving_size_unit|description|energy|energy_unit|protein|protein_unit|total_fat|total_fat_unit|saturated_fat|saturated_fat_unit|dietary_fibre|dietary_fibre_unit|carbohydrate|carbohydrate_unit|cholesterol|cholesterol_unit|sodium|sodium_unit
Pork satay, with satay sauce|29|g|Boneless pork, marinated with spices, skewered and barbequed, served with peanut sauce; 1 plate contains 10 satay sticks with 100 g satay sauce|64.9|kcal|3.56|g|3.77|g|1.29|g|0.79|g|4.09|g|22.43|mg|96.32|mg
Pork trotter, canned|390|g|Braised pork trotter packed in a can|908.7|kcal|41.34|g|74.88|g|26.01|g|||17.94|g|50.7|mg|2258.1|mg
Pork, belly, raw|26.11|g||125.76|kcal|2.27|g|12.87|g|4.69|g|||||17.48|mg|7.77|mg
Pork, belly, with yam slices, steamed|149.41|g|Belly pork with yam slices, steamed|265.8|kcal|15.69|g|17.48|g|5.56|g|2.78|g|11.44|g|52.41|mg|242.94|mg
Pork, boneless, unspecified cut, cooked, fat only|50|g||363.53|kcal|4.3|g|39.15|g|13.45|g|||||45.5|mg|24|mg
Pork, boneless, unspecified cut, cooked, lean and fat|190|g||537.53|kcal|46.03|g|39.71|g|13.9|g|||||160.65|mg|106.5|mg
Pork, boneless, unspecified cut, cooked, lean only|190|g||322.87|kcal|57.95|g|9.88|g|3.42|g|||||169.1|mg|117.8|mg
Pork, boneless, unspecified cut, raw, fat only|50|g||363.53|kcal|2.7|g|40.8|g|14.35|g|||||44.5|mg|13.5|mg
Pork, boneless, unspecified cut, raw, lean and fat|33|g||85.38|kcal|5.73|g|7.06|g|2.63|g|||||25.34|mg|17.42|mg
Pork, boneless, unspecified cut, raw, lean only|215|g||226.83|kcal|48.59|g|3.44|g|1.27|g|||||105.35|mg|139.75|mg
Pork, butterfly steak, grilled, lean and fat|120|g||312.91|kcal|31.08|g|21.12|g|7.56|g|||||103.2|mg|54|mg
Pork, butterfly steak, grilled, lean only|120|g||188.33|kcal|39|g|3.36|g|1.32|g|||||156|mg|55.2|mg
Pork, butterfly steak, raw, lean and fat|155|g|Raw pork meat as purchased without removal of separable fat.|224.35|kcal|3.72|g|10.08|g|3.88|g|||||133.3|mg|68.2|mg
Pork, butterfly steak, raw, lean only|155|g||153.14|kcal|35.34|g|1.86|g|0.62|g|||||134.85|mg|69.75|mg
Pork, centre rib, boiled, lean and fat|35.65|g||65.95|kcal|7.04|g|3.98|g|1.54|g|||||19.26|mg|10.55|mg
Pork, centre rib, chop, raw, lean only|200|g||183.64|kcal|24.85|g|8.58|g|2.98|g|||||62.7|mg|51.3|mg
Pork, centre rib, raw, lean and fat|201|g||381.75|kcal|23.71|g|31.1|g|11.2|g|||||84.9|mg|50.41|mg
Pork, cubed, with spicy sauce, canned|144|g|Canned pork meat cut in cubes, with spicy sauce|408.96|kcal|31.97|g|29.38|g|9.79|g|3.02|g|7.78|g|77.76|mg|2046.24|mg
Pork, forequarter chop, grilled, lean and fat|190|g||495.6|kcal|32.92|g|41.01|g|14.15|g|||||132.85|mg|105.41|mg
Pork, forequarter chop, grilled, lean only|190|g||186.37|kcal|28.42|g|8|g|2.77|g|||||95.42|mg|80.03|mg
Pork, forequarter chop, raw, lean|285|g|Raw pork meat with all separable fat removed.|732.56|kcal|30.01|g|6|g|2.15|g|||||95.42|mg|112.35|mg
Pork, forequarter chop, raw, lean and fat|285|g|Raw pork meat as purchased without removal of separable fat.|428.18|kcal|39.9|g|30.1|g|11.4|g|||||155.04|mg|155.04|mg
Pork, fresh, ground, cooked|85|g||252.45|kcal|21.84|g|17.65|g|6.56|g|||||79.9|mg|62.05|mg
Pork, in coconut milk, simmered, Nonya style|133.09|g|Babi Lemak|271.1|kcal|23.21|g|18.05|g|10.78|g|2.5|g|3.97|g|54.45|mg|319.82|mg
